,UserName,Handle,DateTime,Text,Emoji,EmojiTitles,Likes,Retweets
117,Kiki do you love me?,@Kiki_vibez_,2021-05-28T14:12:36.000Z,"It is not a crime to Live!
It is not a crime to come from Benue!
Stop the Genocide in Benue!
Nigerians, stand up for Benue!
Don’t let our basket get empty!

Repost & pass the message please.
#Buharimustgo #BenueUnderAttack #EndSARS #EnoughIsEnough #southernkaduna",,,3,3
118,Jamok Photography.,@JamokPhotograp1,2021-05-27T06:18:28.000Z,"They want to create more states to divide you, but they kill you to keep Nigeria as one country. It's meaningless to me.
#DissolveTheUnion  #DivideNigerianow
#EndSARS",,,,
119,Marley Jr,@j80715672_jr,2021-05-26T08:14:32.000Z,Dm for price #EndSARS,,,,
120,olufemiOlojo,@Olufemiolojo,2021-05-27T14:00:14.000Z,IGP is correct the #EndSARS contributed to Nigeria’s pervading insecurity and subsequent disbanding of SARS created a vacuum that led to the collapse of our national security.,,,,
121,Authority Stealing,@afroromantics,2021-05-27T05:12:24.000Z,"#endsars
@MaziNnamdiKanu
 
kanu calls Nigeria a Zoo. But the East is Game Reserve.   The Governors loot mindlessly.",,,1,1
122,Perez The Spartan,@ToheebShittu6,2021-05-28T10:04:21.000Z,"Woke up to this and I got lots of work to do. Sapa is playing games with me right now too. Please help me anyone.
#EndSARS 
@AishaYesufu
 @UnclePamilerin
 @aproko_doctor",🥺 😕 🙁,Pleading face Confused face Slightly frowning face,,1
123,FeliCity,@Con_TrolllHer,2021-05-28T08:12:10.000Z,My God. Buhari has to be the most heartless human I've ever heard of. I can't just wrap my head around the fact that he's silent at a time like this. The worst thing to happen to Nigeria. We need to rise up like we did during #EndSARS #BenueUnderAttack,👑 🌌,Crown Milky Way,1,1
124,supergoodvibes,@supersmicro,2021-05-21T11:29:25.000Z,I miss this breh. #EndSARS,,,,
125,Ọ̀táòbáyọ̀mí,@tos2fame,2021-05-23T20:48:10.000Z,"That your regular #short and #plumpy guy.
#maneskin #BamBam #Endsars Nigeria #Arsenal Tosin
Ifb ASAP.  Davido fan. #30BG",😉 😊 😘,Winking face Smiling face with smiling eyes Face throwing a kiss,1,1
126,Green_Cycles,@Green_Cycles,2021-05-28T13:50:19.000Z,Nigeria has the most expensive Tucano planes in the world. Interesting to see how they will be deployed when boko haram tends to infiltrate communities. #EndSARS,,,,
127,CHANGE THE STATUS QUO,@Changestatusqu1,2021-05-27T15:34:47.000Z,"NIGERIA POVERTY CAPITAL OF THE WORLD
40.1% OF NIGERIANS LIVE BELOW 1USD A DAY
Forty percent of Nigerians live below the poverty line. More than 82 million Nigerians live on less than $1 a day, according to the National Bureau of Statistics. #ENDSARS",,,,1
128,micheal william,@BootsGeneral,2021-05-21T14:29:08.000Z,"HAPPING NOW AT  MISSION HILL UMUAHIA ABIA STATE 
@MaziNnamdiKanu4
 @MaziNnamdiKanu
 @General_Somto
 @instablog9ja
 #EndSARS 
@SaharaReporters
 @AishaYesufu",,,,
129,Quickread,@Quickread3,2021-05-28T12:05:26.000Z,IGP Alkali speaks about how #EndSARS protests affected the police,,,,
130,PATOFATO - TMG,@TMGofLagos,2021-05-23T03:09:55.000Z,"Twitter and censorship , 5&6. Just 4mins my content not available no more  #EndSARS  in #Nigeria",✊ 🤣 🤣,Raised fist Rolling on the floor laughing Rolling on the floor laughing,2,1
131,Sahara Reporters,@SaharaReporters,2021-05-26T23:32:50.000Z,"WATCH: Remi Tinubu Assaults Woman, Calls Her ‘Thug’ For Speaking Up At Location Of Constitution Review Hearing
@AsiwajuTinubu
 @OfficialAPCNg",,,2.8K,3.3K
132,Hònóurtà AB,@honourta,2021-05-28T00:46:45.000Z,Nonsense!. These people only represent their pocket and cabals not we Yoruba's in particular. Tueh!... #EndSARS part 2 coming!!!!!,,,1,
133,Jeremiah,@jerryadetunji,2021-05-27T10:27:59.000Z,"My people. Let's call out Desmond Elliot. Today is Children Day

#desmondelliot 
#ChildrensDay
#EndSARS",🌚,New moon with face,,1
134,#Endsars #lekkiMassacre #WeMustGetjustice,@OduntanDaniel1,2021-05-26T22:44:57.000Z,"#EndSARS Call On All Bandit And All The  Kidnappers And Gunmen Of Nigeria To Visit  
@BashirAhmaad
 And His Family And All Others That Can Still Watch #UELfinal In This Midst Of All the Insecurities And Many Other Tragedies Befalling Nigeria And Let Double Tragedies Befall Them All",,,1,2
135,PSYCHEDELIC GA.AD,@Tunchee_stan,2021-05-27T12:21:46.000Z,"Join me LIVESTREAM

#AllStars6 #EndSARS",,,,2
136,#Endsars #lekkiMassacre #WeMustGetjustice,@OduntanDaniel1,2021-05-26T22:44:39.000Z,"#EndSARS Call On All Bandit And All The  Kidnappers And Gunmen Of Nigeria To Visit  
@BashirAhmaad
 And His Family And All Others That Can Still Watch #UELfinal In This Midst Of All the Insecurities And Many Other Tragedies Befalling Nigeria And Let Double Tragedies Befall Them All",,,1,2
137,Jay.,@judeisrael94,2021-05-27T14:17:10.000Z,"Tammy Abraham was with Nigerian youths during #EndSARS 

We’re backing him on Saturday to win the champions league, we’re supporting our own ",,,,
138,Official_Youngestcoded #Endsarsnow,@CodedYoungest,2021-05-24T18:23:14.000Z,"New week be good to us #Younghustler 
 #EndSARS #EndNigeriaNow",🙏 😇 ❤ 🌍,Folded hands Smiling face with halo Red heart Earth globe europe-africa,1,1
139,M. phil.,@meiklwagner,2021-05-26T05:00:06.000Z,"This Is The Right Time ( US Version) - Lisa Stansfield, 1989, Arista Records.
On YouTube: http://youtu.be/ZpbKQjHNa-o

#FridaysForFuture #Berlin #ClimateChange #cinemastrikesback #Influencer #AutismAcceptanceMonth #BlackLivesMatter #California #BMAS_Bund #philosophytweet #EndSARS",👑,Crown,3,1
140,#EndSARS,@end_sars1,2021-05-28T16:00:11.000Z,"Banning SARS is not enough, the entire Police Force need a refresher on their duty. AND WE DO NOT WANT SWAT!! 
    
@PoliceNG
 @MBuhari
 @NigeriaGov
 @ProfOsinbajo
 @femigbaja
 @DrAhmadLawan
 
    #EndSarsNow #EndSARS",🤖,Robot face,,
141,Tosin Dada,@mrbadtguy,2021-05-27T23:33:16.000Z,"Cool but can he find the killers from 20.10.20?
#EndSARS",,,,1
142,New Breed Politicians,@politicians_new,2021-05-27T13:25:03.000Z,"Destroyed Police stations during the #endsars protests are yet to be renovated or rebuilt nationwide
Who did we offend!",,,,
143,Young Yorùbá for Freedom (YYF),@YoungYoruba,2021-05-22T11:30:45.000Z,"Replying to 
@YoungYoruba",,,,
144,Young Yorùbá for Freedom (YYF),@YoungYoruba,2021-05-22T11:30:55.000Z,"...and working for the English Establishment in what is known as neocolonialism. The procedure is different this time under the guise of #EndSARS, but the result is the same -the continuous subjugation of the Yoruba nation.",,,1,1
145,Oladele Peter,@OPeterO1,2021-05-26T10:24:08.000Z,"Thanks to VAR small, Manchester United are fraudsters, how can you rob a team to this extent. . .



#N200 Conte Garba Shehu Chukwueze Lukaku #EndSARS   #UELfinal",🤣 😂 🤣 🤣,Rolling on the floor laughing Face with tears of joy Rolling on the floor laughing Rolling on the floor laughing,1K,656
146,jihan,@jihan78780089,2021-05-26T22:00:27.000Z,"We are our own people, we are not what they portray us as. Suspicious Activity Reports create stereotypes and use them against us. 
@aaanmarkaz
 #EndRacialProfiling #EndSARS",,,2,3
147,Mrhatepolitics,@Kamohel71921209,2021-05-28T00:07:00.000Z,"@CyrilRamaphosa
@eNCA
 #EndSARS
@SABCNews
#EndSARS
#CORRUPTION
@LawSociety_SA
How long must the good people of sa suffer due to corruption
Every day we wake up to money stolen through dodgy government dealings.
I beg the lawyers to advice us good Ppl of sa to stage a tax revolt",,,2,2
148,Fabby Georginio,@Fabbykay44,2021-05-21T22:04:46.000Z,"Anybody wey hit hand for chest say Biafra no go come, na heart Attack go kill am . Chief of Army staff
#BiafraReferendum #ESN #ChiefofArmyStaff #EndSARS #attahiru #Buharimustgo",😆,Smiling face with open mouth and tightly-closed eyes,4,2
149,Djkelexray,@Djkelexray1,2021-05-28T07:38:43.000Z,"Shame to 
@HQNigerianArmy
 for the orientation they gave their fighters, how can u kill anybody just become they were going to imo state, that was how they wasted the #EndSARS protesters in #LekkiMassacre these should be the last hope for the poor and unprivileged people but oooh",😭,Loudly crying face,,
150,D.U.C.E,@mazi_duce,2021-05-24T07:06:49.000Z,"Nigerians, no matter what they do or say now, we ain’t voting for the likes of Tinubu, Atiku etc, we can’t be reshuffling old men to be in positions, the country isn’t moving, we are all Stucked in a loop, we are the ones that can liberate ourselves..

#EndSARS",🗣,,226,194
151,one day?,@SeaJustified,2021-05-27T21:35:37.000Z,"I have been waiting for a day like this when a man would challenge 
@HenshawKate
 , luckily for me nah my main man , drink and what are looking in the fridge by this time 
@aproko_doctor
 . I wish I place bet on this . Nah straight win #EndSARS",,,,1
152,Phantino Reborn,@PhantinoR,2021-05-27T01:22:21.000Z,"So Remi tinubu called a citizen a thug gor airing her mind. That is the first lady you guys want o, an elected representative married to a thug calling a responsible citizen  a thug. #Nigeria #EndSARS #EndBadGovernanceinNIGERIA",,,1,2
153,CCTV Camera Nigeria,@cctv_nigeria,2021-05-27T03:00:12.000Z,"Winpossee 16 Channel AHD CCTV DVR
PRICE - 60,000NGN
WhatsApp 08179145049
Phone 07088986103 #EndSARS #EuropaLeagueFinal #EuropaFinal #Ethereum #ETH #EuropaLeague #EULfinal #EuropaFinalOnStarTimes #E32021 #ElonMusk #EkMiniKatha #EkMiniKathaOnPrime #EidAlFitr #ENJ #emanet #e 
@adupe_",,,1,1
154,Titans warlord sT,@BaronessTee,2021-05-27T21:13:28.000Z,"Replying to 
@_efuaG
 and 
@SaharaReporters",🔱 🔱 🔱 🔱 🐮,Trident emblem Trident emblem Trident emblem Trident emblem Cow face,3,
155,Kenechukwu 胜利者Mmakamma,@KMmakamma,2021-05-27T21:38:18.000Z,"Abi? The people from the federal republic of northern Nigeria, what do they carry? What did they carry during the #EndSARS protest? So why can't IPOB carry?",,,2,
156,Ebudola,@Agegepikin,2021-05-27T08:21:41.000Z,"One of the co-sponsor of the thugs that came to scatter #EndSARS protest is calling her fellow woman a thug.
Remi Tinubu you’re living and dinning with the king of thugs.",,,1,1
157,Aynaijang News,@aynaijablog,2021-05-27T14:57:20.000Z,"Could This Be True? Disbandment Of SARS Reason For High Insecurity Across Nigeria – IGP

https://aynaijang.com/2021/05/could-this-be-true-disbandment-of-sars-reason-for-high-insecurity-across-nigeria-igp/…
/ First Lady / #EndSARS",,,,
158,Sahara Reporters,@SaharaReporters,2021-05-27T05:57:32.000Z,Eko Bridge Closes For Emergency Repairs June 4 | Sahara Reporters https://bit.ly/3oWf2Yx,,,104,41
159,Jonathan,@Jonatha08557978,2021-05-27T19:02:39.000Z,"@AsiwajuTinubu
 @RemiTinubu
 The day this bridge will collapse, may your entire family members be on it. Rather than build the fourth mainland bridge, you're using it as campaign strategy for over 12yrs while knowing these existing bridges are bad.
#EndSARS #Biafra #Oduduwa",,,,
160,Dora Fan of Toolz I #Messi,@doradecent,2021-05-26T11:44:51.000Z,"A plastic of Gari is N1800 
What kind of leadership is this 
@NGRPresident
 @MBuhari
 @NOIweala
 Common Garri 

Consider many who can't afford a plastic when it was N200 per plastic. We can't continue like this. What kind of recession is this  
God help  
@unngls
#EndSARS",💋 ❤ 💔 😭 😭,Kiss mark Red heart Broken heart Loudly crying face Loudly crying face,150,143
161,TheGoodGuy,@I_am_TheGoodGuy,2021-05-28T15:22:51.000Z,"Is this getting Normal????

This is getting out of Hand, No day without a Bad report. Kidnapping, Rubbery, Killings, the Insecurity in this country is alarming. 

Yet no action as been taking by the Government, Is this a Joke to them??
#BenueUnderAttack
#BenueUnderAttack
#EndSARS",,,1,
162,DeboMacaroni,@mrmacaronii,2021-05-28T08:28:45.000Z,Who is your dear? Has justice taken its cause on the officers that brutalized and dehumanized me? No be your office dem dey? You didn’t see them in the viral video? My early morning curse dey work oo. Don’t let me send some your way!! Evil and heartless people!!,,,3.3K,1.8K
163,Iyabeni Patrick #ThingsDeyHappen,@IyabeniP,2021-05-28T08:35:20.000Z,Shameful  #EndSARS #EndPoliceBrutalityinNigeria,💔,Broken heart,,
164,Agba Jalingo,@agbajalingo_,2021-05-28T14:35:43.000Z,"VIDEO: Donald Duke has returned to the same PDP he said all these about. WATCH!!! 
@Donald_Duke
 @senatorbenayade
 @LiyelImoke",,,4,3
165,Young pac,@richieedet,2021-05-28T15:42:48.000Z,"And he want us to vote him as our President. Get ready to be disappointed woefully.
Meanwhile we still demand 
#ElectoralReforms
#EndSARS 
#PantamiResignNow",,,,
166,QueenVLion,@QueenVLion1,2021-05-27T15:55:32.000Z,#OromoProtests #ShutItAllDown #AnglophoneCrisis #RapeNationalEmergency #ChildTrafficking #ZimbabweanLivesMatter #AmINext #CongoIsBleeding #EndSARS #BlackConsciousnessDay  #FreeHaiti  #PrayforJamaica  #BlackLivesMatter WE CAN BE THE CHANGE.,👑 🚨 🗣,Crown Police cars revolving light,1,
167,black venus,@purple_pastry,2021-05-27T10:21:12.000Z,WOW!!! MUST READ AND RT TO SAVE A LIFE!! #EndPoliceBrutality #EndCorruption #EndSARS,,,,
